COSTCENTER,DESCRIPTION,1,9,K,2,3,4,5,6,7,M,8
****STAS01,Jembatan Timbang,MEKANIK,MEKANIK,MEKANIK,TEK-PBU,TEK-LOAD,TEK-MINS,TEK-WSH,TEK-LOAD,TEK-MINS,TEK-LOAD,TEK-PEBB
****STAS02,Loading Ramp,MEKANIK,MEKANIK,MEKANIK,TEK-PBU,TEK-LOAD,TEK-MINS,TEK-WSH,TEK-LOAD,TEK-MINS,TEK-LOAD,TEK-PEBB
****STAS03,Sterilizer,MEKANIK,MEKANIK,MEKANIK,TEK-REB,TEK-STER,TEK-MINS,TEK-WSH,TEK-STER,TEK-MINS,TEK-STER,TEK-REBS
****STAS04,Rail Track,MEKANIK,MEKANIK,MEKANIK,TEK-REB,TEK-THRE,TEK-MINS,TEK-WSH,TEK-STER,TEK-MINS,TEK-THRE,TEK-THRE
****STAS05,Thresser & Hoisting,MEKANIK,MEKANIK,MEKANIK,TEK-PNB,TEK-THRE,TEK-MINS,TEK-WSH,TEK-THRE,TEK-MINS,TEK-THRE,TEK-THRE
****STAS06,Pressan,MEKANIK,MEKANIK,MEKANIK,TEK-KMP,TEK-PRES,TEK-MINS,TEK-WSH,TEK-PRES,TEK-MINS,TEK-PRES,TEK-PRES
****STAS07,Klarifikasi,MEKANIK,MEKANIK,MEKANIK,TEK-MYK,TEK-CLAR,TEK-MINS,TEK-WSH,TEK-CLAR,TEK-MINS,TEK-CLAR,TEK-KLAR
****STAS08,Pengolahan Inti Sawi,MEKANIK,MEKANIK,MEKANIK,TEK-PBI,TEK-KERN,TEK-MINS,TEK-WSH,TEK-KERN,TEK-MINS,TEK-KERN,TEK-KERN
****STAS09,Boiler,MEKANIK,MEKANIK,MEKANIK,TEK-BOL,TEK-BOIL,TEK-MINS,TEK-WSH,TEK-BOIL,TEK-MINS,TEK-BOIL,TEK-BOIL
****STAS10,Pengolahan Air,MEKANIK,MEKANIK,MEKANIK,TEK-WTR,TEK-WTPA,TEK-MINS,TEK-WSH,TEK-WTPA,TEK-MINS,TEK-WTRT,TEK-WTTR
****STAS11,Kamar Mesin,MEKANIK,MEKANIK,MEKANIK,TEK-PTT,TEK-PWR,TEK-MINS,TEK-WSH,TEK-POWR,TEK-MINS,TEK-KMRM,TEK-PWHS
****STAS12,Tangki Timbun dan Ke,MEKANIK,MEKANIK,MEKANIK,TEK-TYK,TEK-CLAR,TEK-MINS,TEK-WSH,TEK-CLAR,TEK-MINS,TEK-CLAR,TEK-KLAR
****STAS13,Limbah,MEKANIK,MEKANIK,MEKANIK,TEK-KYK,TEK-EFFL,TEK-MINS,TEK-WSH,TEK-EFFL,TEK-MINS,TEK-CLAR,TEK-EFTR
****STAS14,Empty Bunch Hopper,MEKANIK,MEKANIK,MEKANIK,TEK-HTK,TEK-THRE,TEK-MINS,TEK-WSH,TEK-THRE,TEK-MINS,TEK-THRE,TEK-THRE
